route,routeKey,chunks,routeRawKB,routeGzipKB,estFirstLoadRawKB,estFirstLoadGzipKB
"/barangay/projects/health","/(lgu)/barangay/(authenticated)/projects/health/page",33,1341.19,397.39,1723.23,510.26
"/barangay/projects/health/[projectId]","/(lgu)/barangay/(authenticated)/projects/health/[projectId]/page",33,1341.19,397.39,1723.23,510.26
"/barangay/projects/infrastructure","/(lgu)/barangay/(authenticated)/projects/infrastructure/page",33,1341.19,397.39,1723.23,510.26
"/barangay/projects/infrastructure/[projectId]/add-information","/(lgu)/barangay/(authenticated)/projects/infrastructure/[projectId]/add-information/page",33,1341.19,397.39,1723.23,510.26
"/barangay/projects/infrastructure/[projectId]","/(lgu)/barangay/(authenticated)/projects/infrastructure/[projectId]/page",33,1341.19,397.39,1723.23,510.26
"/barangay/projects/health/[projectId]/add-information","/(lgu)/barangay/(authenticated)/projects/health/[projectId]/add-information/page",33,1341.19,397.39,1723.23,510.26
"/city/projects/health","/(lgu)/city/(authenticated)/projects/health/page",33,1341.18,397.38,1723.23,510.26
"/city/projects/health/[projectId]/add-information","/(lgu)/city/(authenticated)/projects/health/[projectId]/add-information/page",33,1341.18,397.38,1723.23,510.26
"/city/projects/health/[projectId]","/(lgu)/city/(authenticated)/projects/health/[projectId]/page",33,1341.18,397.38,1723.23,510.26
"/city/projects/infrastructure","/(lgu)/city/(authenticated)/projects/infrastructure/page",33,1341.18,397.38,1723.23,510.26
"/city/projects/infrastructure/[projectId]/add-information","/(lgu)/city/(authenticated)/projects/infrastructure/[projectId]/add-information/page",33,1341.18,397.38,1723.23,510.26
"/city/projects/infrastructure/[projectId]","/(lgu)/city/(authenticated)/projects/infrastructure/[projectId]/page",33,1341.18,397.38,1723.23,510.26
"/projects/health/[projectId]","/(citizen)/projects/health/[projectId]/page",31,1317.48,389.54,1699.52,502.41
"/projects/infrastructure/[projectId]","/(citizen)/projects/infrastructure/[projectId]/page",31,1317.48,389.54,1699.52,502.41
"/admin/account-administration","/admin/(authenticated)/account-administration/page",31,1297.65,377.77,1679.69,490.64
"/admin/aip-monitoring","/admin/(authenticated)/aip-monitoring/page",31,1297.65,377.77,1679.69,490.64
"/admin/feedback-moderation","/admin/(authenticated)/feedback-moderation/page",31,1297.65,377.77,1679.69,490.64
"/admin/lgu-management","/admin/(authenticated)/lgu-management/page",31,1297.65,377.77,1679.69,490.64
"/city/submissions/aip/[aipId]/[projectId]","/(lgu)/city/(authenticated)/submissions/aip/[aipId]/[projectId]/page",34,1260.44,376.74,1642.48,489.62
"/barangay/aips","/(lgu)/barangay/(authenticated)/aips/page",32,1223.68,367.02,1605.73,479.90
"/barangay/aips/[aipId]","/(lgu)/barangay/(authenticated)/aips/[aipId]/page",32,1223.68,367.02,1605.73,479.90
"/barangay/aips/[aipId]/[projectId]","/(lgu)/barangay/(authenticated)/aips/[aipId]/[projectId]/page",32,1223.68,367.02,1605.73,479.90
"/city/aips","/(lgu)/city/(authenticated)/aips/page",32,1223.68,367.02,1605.72,479.89
"/city/aips/submittals","/(lgu)/city/(authenticated)/aips/submittals/page",32,1223.68,367.02,1605.72,479.89
"/city/aips/[aipId]","/(lgu)/city/(authenticated)/aips/[aipId]/page",32,1223.68,367.02,1605.72,479.89
"/city/aips/[aipId]/[projectId]","/(lgu)/city/(authenticated)/aips/[aipId]/[projectId]/page",32,1223.68,367.02,1605.72,479.89
"/barangay/feedback","/(lgu)/barangay/(authenticated)/feedback/page",30,1175.02,351.28,1557.07,464.16
"/city/feedback","/(lgu)/city/(authenticated)/feedback/page",30,1175.01,351.28,1557.06,464.15
"/admin/usage-controls","/admin/(authenticated)/usage-controls/page",27,1174.93,350.58,1556.98,463.45
"/admin/system-administration","/admin/(authenticated)/system-administration/page",26,1144.62,342.74,1526.66,455.61
"/city/submissions/aip","/(lgu)/city/(authenticated)/submissions/aip/page",30,1143.95,343.42,1525.99,456.29
"/city/submissions/aip/[aipId]","/(lgu)/city/(authenticated)/submissions/aip/[aipId]/page",30,1143.95,343.42,1525.99,456.29
"/city/submissions","/(lgu)/city/(authenticated)/submissions/page",30,1143.95,343.42,1525.99,456.29
"/aips/[aipId]/[projectId]","/(citizen)/aips/[aipId]/[projectId]/page",26,1126.72,339.67,1508.76,452.55
"/aips/[aipId]","/(citizen)/aips/[aipId]/page",25,1120.11,337.16,1502.15,450.03
"/admin/notifications","/admin/(authenticated)/notifications/page",28,1117.07,337.90,1499.12,450.77
"/admin/sign-in","/admin/(auth)/sign-in/page",27,1115.96,336.60,1498.00,449.48
"/admin/update-password","/admin/(auth)/update-password/page",28,1115.46,337.34,1497.51,450.21
"/admin/audit-logs","/admin/(authenticated)/audit-logs/page",27,1114.38,336.38,1496.42,449.25
"/admin/forgot-password","/admin/(auth)/forgot-password/page",27,1111.32,335.76,1493.37,448.64
"/barangay/chatbot","/(lgu)/barangay/(authenticated)/chatbot/page",28,1103.21,332.67,1485.26,445.54
"/city/chatbot","/(lgu)/city/(authenticated)/chatbot/page",28,1103.21,332.66,1485.25,445.54
"/admin/error","/admin/(auth)/error/page",25,1101.49,331.76,1483.54,444.63
"/admin/sign-up","/admin/(auth)/sign-up/page",25,1101.49,331.76,1483.54,444.63
"/admin/sign-up-success","/admin/(auth)/sign-up-success/page",25,1101.49,331.76,1483.54,444.63
"/admin","/admin/(authenticated)/(dashboard)/page",25,1101.49,331.76,1483.54,444.63
"/admin/chatbot-controls","/admin/(authenticated)/chatbot-controls/page",25,1101.49,331.76,1483.54,444.63
"/admin/workflow-oversight","/admin/(authenticated)/workflow-oversight/page",25,1101.49,331.76,1483.54,444.63
"/admin/unauthorized","/admin/unauthorized/page",25,1101.49,331.76,1483.54,444.63
"/barangay/sign-up","/(lgu)/barangay/(auth)/sign-up/page",28,1090.99,329.80,1473.03,442.67
"/city/sign-up","/(lgu)/city/(auth)/sign-up/page",28,1090.98,329.79,1473.02,442.67
"/barangay/notifications","/(lgu)/barangay/(authenticated)/notifications/page",29,1088.98,329.91,1471.02,442.78
"/city/notifications","/(lgu)/city/(authenticated)/notifications/page",29,1088.97,329.90,1471.02,442.78
"/barangay/audit","/(lgu)/barangay/(authenticated)/audit/page",28,1087.92,328.21,1469.97,441.09
"/city/audit","/(lgu)/city/(authenticated)/audit/page",28,1087.92,328.21,1469.96,441.08
"/barangay/sign-in","/(lgu)/barangay/(auth)/sign-in/page",28,1087.86,328.62,1469.91,441.49
"/city/sign-in","/(lgu)/city/(auth)/sign-in/page",28,1087.85,328.61,1469.90,441.49
"/barangay/update-password","/(lgu)/barangay/(auth)/update-password/page",29,1087.37,329.35,1469.41,442.23
"/city/update-password","/(lgu)/city/(auth)/update-password/page",29,1087.36,329.35,1469.41,442.22
"/budget-allocation","/(citizen)/budget-allocation/page",24,1084.84,326.98,1466.89,439.86
"/barangay/forgot-password","/(lgu)/barangay/(auth)/forgot-password/page",28,1083.23,327.78,1465.27,440.65
"/city/forgot-password","/(lgu)/city/(auth)/forgot-password/page",28,1083.22,327.77,1465.27,440.65
"/barangay/error","/(lgu)/barangay/(auth)/error/page",26,1073.40,323.77,1455.44,436.64
"/barangay/sign-up-success","/(lgu)/barangay/(auth)/sign-up-success/page",26,1073.40,323.77,1455.44,436.64
"/barangay","/(lgu)/barangay/(authenticated)/(dashboard)/page",26,1073.40,323.77,1455.44,436.64
"/barangay/account","/(lgu)/barangay/(authenticated)/account/page",26,1073.40,323.77,1455.44,436.64
"/barangay/unauthorized","/(lgu)/barangay/unauthorized/page",26,1073.40,323.77,1455.44,436.64
"/city/error","/(lgu)/city/(auth)/error/page",26,1073.39,323.76,1455.44,436.64
"/city/sign-up-success","/(lgu)/city/(auth)/sign-up-success/page",26,1073.39,323.76,1455.44,436.64
"/city","/(lgu)/city/(authenticated)/(dashboard)/page",26,1073.39,323.76,1455.44,436.64
"/city/account","/(lgu)/city/(authenticated)/account/page",26,1073.39,323.76,1455.44,436.64
"/city/projects","/(lgu)/city/(authenticated)/projects/page",26,1073.39,323.76,1455.44,436.64
"/city/unauthorized","/(lgu)/city/unauthorized/page",26,1073.39,323.76,1455.44,436.64
"/ai-assistant","/(citizen)/ai-assistant/page",22,1071.12,322.55,1453.17,435.42
"/projects/health","/(citizen)/projects/health/page",25,1060.41,318.43,1442.46,431.30
"/projects/infrastructure","/(citizen)/projects/infrastructure/page",25,1060.41,318.43,1442.46,431.30
"/about-us","/(citizen)/about-us/page",22,1050.15,316.15,1432.19,429.02
"/aips","/(citizen)/aips/page",22,1049.70,316.16,1431.74,429.03
"/notifications","/(citizen)/notifications/page",24,1045.42,316.12,1427.47,428.99
"/update-password","/(citizen)/(auth)/update-password/page",24,1043.81,315.56,1425.85,428.44
"/forgot-password","/(citizen)/(auth)/forgot-password/page",23,1039.67,313.99,1421.72,426.86
"/projects","/(citizen)/projects/page",22,1030.08,310.15,1412.12,423.03
"/error","/(citizen)/(auth)/error/page",21,1029.84,309.98,1411.89,422.85
"/sign-in","/(citizen)/(auth)/sign-in/page",21,1029.84,309.98,1411.89,422.85
"/sign-up","/(citizen)/(auth)/sign-up/page",21,1029.84,309.98,1411.89,422.85
"/sign-up-success","/(citizen)/(auth)/sign-up-success/page",21,1029.84,309.98,1411.89,422.85
"/","/(citizen)/(dashboard)/page",21,1029.84,309.98,1411.89,422.85
"/account","/(citizen)/account/page",21,1029.84,309.98,1411.89,422.85
"/chatbot","/(citizen)/chatbot/page",21,1029.84,309.98,1411.89,422.85
"/_global-error","/_global-error/page",21,1029.84,309.98,1411.89,422.85
"/_not-found","/_not-found/page",21,1029.84,309.98,1411.89,422.85
